#(dyn/cm2)      (K)     (cm2/s)
Pressure        Temp    Kzz
1.000e+06   320.0  1.000e+05
9.120e+05   317.5  1.000e+05
7.586e+05   312.6  1.000e+05
6.310e+05   307.8  1.000e+05
5.248e+05   303.0  1.000e+05
4.365e+05   298.3  1.000e+05
3.631e+05   293.6  1.000e+05
3.020e+05   289.0  1.000e+05
2.512e+05   284.3  1.000e+05
2.089e+05   279.6  1.000e+05
1.738e+05   274.9  1.000e+05
1.445e+05   270.6  1.000e+05
1.202e+05   266.4  1.000e+05
1.000e+05   262.1  1.000e+05
8.318e+04   260.0  1.000e+05
6.918e+04   260.0  1.000e+05
5.754e+04   260.0  1.000e+05
4.786e+04   260.0  1.000e+05
3.981e+04   260.0  1.000e+05
3.311e+04   260.0  1.000e+05
2.754e+04   260.0  1.000e+05
2.291e+04   260.0  1.000e+05
1.905e+04   260.0  1.000e+05
1.585e+04   260.0  1.000e+05
1.318e+04   260.0  1.000e+05
1.096e+04   260.0  1.000e+05
9.120e+03   260.0  1.000e+05
7.586e+03   260.0  1.000e+05
6.310e+03   260.0  1.000e+05
5.248e+03   260.0  1.000e+05
4.365e+03   260.0  1.000e+05
3.631e+03   260.0  1.000e+05
3.020e+03   260.0  1.000e+05
2.512e+03   260.0  1.000e+05
2.089e+03   260.0  1.000e+05
1.738e+03   260.0  1.000e+05
1.445e+03   260.0  1.000e+05
1.202e+03   260.0  1.000e+05
1.000e+03   260.0  1.000e+05
8.318e+02   260.0  1.000e+05
6.918e+02   260.0  1.000e+05
5.754e+02   260.0  1.000e+05
4.786e+02   260.0  1.000e+05
3.981e+02   260.0  1.000e+05
3.311e+02   260.0  1.000e+05
2.754e+02   260.0  1.000e+05
2.291e+02   260.0  1.000e+05
1.905e+02   260.0  1.000e+05
1.585e+02   260.0  1.000e+05
1.318e+02   260.0  1.000e+05
1.096e+02   260.0  1.000e+05
9.120e+01   260.0  1.000e+05
7.586e+01   260.0  1.000e+05
6.310e+01   260.0  1.000e+05
5.248e+01   260.0  1.000e+05
4.365e+01   260.0  1.000e+05
3.631e+01   260.0  1.000e+05
3.020e+01   260.0  1.000e+05
2.512e+01   260.0  1.000e+05
2.089e+01   260.0  1.000e+05
1.738e+01   260.0  1.000e+05
1.445e+01   260.0  1.000e+05
1.202e+01   260.0  1.000e+05
1.000e+01   260.0  1.000e+05
8.318e+00   260.0  1.000e+05
6.918e+00   260.0  1.000e+05
5.754e+00   260.0  1.000e+05
4.786e+00   260.0  1.000e+05
3.981e+00   260.0  1.000e+05
3.311e+00   260.0  1.000e+05
2.754e+00   260.0  1.000e+05
2.291e+00   260.0  1.000e+05
1.905e+00   260.0  1.000e+05
1.585e+00   260.0  1.000e+05
1.318e+00   260.0  1.000e+05
1.096e+00   260.0  1.000e+05
9.120e-01   260.0  1.000e+05
7.586e-01   260.0  1.000e+05
6.310e-01   260.0  1.000e+05
5.248e-01   260.0  1.000e+05
4.365e-01   260.0  1.000e+05
3.631e-01   260.0  1.000e+05
3.020e-01   260.0  1.000e+05
2.512e-01   260.0  1.000e+05
2.089e-01   260.0  1.000e+05
1.738e-01   260.0  1.000e+05
1.445e-01   260.0  1.000e+05
1.202e-01   260.0  1.000e+05
1.000e-01   260.0  1.000e+05
8.318e-02   260.0  1.000e+05
6.918e-02   260.0  1.000e+05
5.754e-02   260.0  1.000e+05
4.786e-02   260.0  1.000e+05
3.981e-02   260.0  1.000e+05
3.311e-02   260.0  1.000e+05
2.754e-02   260.0  1.000e+05
2.291e-02   260.0  1.000e+05
1.905e-02   260.0  1.000e+05
1.585e-02   260.0  1.000e+05
1.318e-02   260.0  1.000e+05
1.096e-02   260.0  1.000e+05
